,places,doc_id
0,Aarhus,1
1,Aarhus,1
2,Slagtehuset,1
3,Aarhus,1
4,Slagtehuset Hans Thomsen,2
5,Aarhus,3
6,Aarhus offentlige,3
7,Thorvaldsensgade,5
8,Aaløbet,5
9,Aaen,6
10,Grunden,6
11,Gaden,6
12,Grunden,6
13,Gadens Udvidelse,7
14,Aarhus,8
15,Bruunsgade 34,8
16,Lille Torv,8
17,Bruunsgade,8
18,Ringgaarden,10
19,Vestergade 51.,12
20,Blegdammen 3 ..........................9500Kr.000.,15
21,Skovvej 67 ...,15
22,"Horsensgade 5.........................3386""25""",15
23,Stadionallé 28,15
24,Nørre Allé,15
25,"H.Brogesgade 8...................1900""00""",15
26,Fredensgade,15
27,Odense Havn,15
28,N. Juelsgade 1,15
29,Sct. Paulsgade 21,15
30,Kommunehospitalet,15
31,Lille Torv,15
32,"Ryesgade 23........................800""00""",15
33,"Langelandsgade 24............785""00""",15
34,Ny Munkegade 69.................,15
35,"Sjællandsgade 127 ...........675""00""",16
36,"Fyensgade 5.........................650""00""
ps",16
37,"Ringkøbingvej 24 ............650""00""",16
38,"Lollandsgade 6.......................600""00""
Blikkenslagersv",16
39,Skovvangsvej 228........,16
40,Dr. Margrethesvej 113,16
41,"Aalborggade 24 .................450""00""",16
42,"Kriegersvej 9 ...............350""00""",16
43,"H. Guldbergsgade 51..........350""00""",16
44,L. Krusesgade,16
45,"Nørregade 59........................260""00""",16
46,Paradisgade 10 ..............,16
47,"Silkeborgvej 30 ....................80""00""",16
48,Gaar,18
49,Matr. Nr. 90 af Markj,26
50,.,26
51,Kathrinebjergvej,26
52,Langelandsgade,26
53,Havnens Ejendom,28
54,Sagen,29
55,Matr. Nr. 54 a af Markj,31
56,Matr. Nr. 117 a af Markj,32
57,Aarhus Domkirke,33
58,Christiansgade,34
59,Finsensgade,34
60,Fjordsgade,34
61,Moesgaard Strand,36
62,Kysten,36
63,Norsminde,36
64,Moesgaard Strand,36
65,Aarhus,36
66,Kysten,36
67,Norsminde Fjord,36
68,Badestranden,36
69,Vejlinien,36
70,Norsminde,36
71,Sabroes,37
72,Oliefabrikkens,37
73,Vejlinie,37
74,Vejlinie,37
75,Vejlinien,37
76,Plads,37
77,Sandstrand,37
78,Moesgaard,38
79,Norsminde Fjord,38
80,Vilkaar,38
81,Aaby,39
82,Brabrand-Aarslev,39
83,Hasle-Skejby-Lisbjerg,39
84,Holme-Tranbjerg,39
85,Vejlby-Risskov,39
86,Aarhus By,39
87,Rambøll,39
88,Aarhus,39
89,"St. Blichersvej 34, Aabyhøj",39
90,"Østergade 12, Brabrand",39
91,Hasle,39
92,Holme,39
93,"Rampen 3, Risskov",40
94,Viby,40
95,Kommunehospitalet,45
96,Arbejdsanstalten,45
97,Svømmehallen,45
98,Danmark,46
99,Aarhus,46
100,Aarhus Kommunehospitals,46
101,Chr. Winthers,49
102,Vestre Ringgade,49
103,Bero,49
104,Viborg,50
105,Viborg-Aarhus,50
106,Valbyvej,51
107,Vestre Ringgade.&lt;br&gt,52
108,Vestre Ringgade,53
109,Herambsgade,54
110,Vejareal,54
111,Vilkaar,58
112,Nørrebrogade,60
113,Raadhus,66
114,Kommunehospitalet,67
115,Statslaan,69
116,Brendstrupvej,69
117,Statslaan,70
118,Brendstrupvej,70
119,Thorvaldsensgade,85
120,Aarhus Havn,86
121,Søfartens Bibliotek,86
122,Aarhus,88
123,Aarhus,89
124,30_45-1939Spørring-Aarhus,90
125,Brendstrupvej,91
126,Bethesdavej,92
127,Amdrupsvej,92
128,Vejen,95
129,Fjor,96
130,GaderHuse,96
131,Paludan Müllers,98
132,Vestereng,99
133,Aarhus Købstad,100
134,Aarhus Købstad,101
135,Aarhus,101
136,Statslaan,103
137,Brendstrupvej,103
138,Statslaan,104
139,Brendstrupvej,104
140,Matr. Nr. 85 cn af Markj,115
141,Matr. Nr. 69 cs,116
142,Markj,116
143,"Boligforeningen ""Ringgaarden",117
144,Matr. Nr. 12 ad af Markj,117
145,Kloakpumpestationen,118
146,Aarhus Havn,123
147,Kommunehospitalet,124
148,Statskassens Vegne,125
149,Aarhus Kommunes,125
150,Aarhus Kommunehospital,125
151,Christiansbjerg,127
152,Læssøesgades Skole,127
153,Christiansbjerg,127
154,Borgerskolen,127
155,Læssøesgade,127
156,Christiansbjerg Skole,127
157,Læssøesgades Skole,127
158,Aarhus,130
159,Thors Mølle,135
160,Dammene,136
161,Højbjerg,136
162,Aarhus,139
163,Gasværket,140
164,Aarhus,140
165,Aarhus,142
166,Aarhus,143
167,Badeanstalten,144
168,København,144
169,De gamles Hjems Sygeafdeling,146
170,Aarhus,146
171,Esbjerg,146
172,Aarhus,146
173,Aarhus,146
174,Flyvepladsen,161
175,Skejby,161
176,Skejby By,162
177,Eng,162
178,Skov,162
179,Vilkaar,162
180,Eng,162
181,Flyvepladsen,162
182,Flyvepladsen,162
183,Td. Land,162
184,Brendstrup Hovedgaard,162
185,Nedergaard,162
186,Brendstrup,162
187,Flyvepladsen,163
188,Lynggaards,163
189,Brendstrup,163
190,Matr.,163
191,Flyvepladsen,163
192,Brendstrup,163
193,Jorden,163
194,Skejby,164
195,Flyvepladsen,164
196,Flyvepladsen,164
197,Skejby Mark,164
198,Randers Landevej,164
199,Skejby,165
200,Flyvepladsen,165
201,Flyvepladsen,165
202,.,167
203,Marselisborg,167
204,Aarhus Markjorder,168
205,Marselisborg,168
206,Marselis Boulevard,168
207,Aarhus Købstads,168
208,Marselisborg,168
209,Anlæget,171
210,Aarhus nye,171
211,Karréerne,172
212,Aarhus Amtssygehus,172
213,Aarhus,173
214,Aarhus,174
215,Aarhus,178
216,Aarhus,178
217,Borgerskolen,181
218,Samsøgade,181
219,"Strandparken 33 .................2500,00Kr.",184
220,Strandparken,184
221,"Randersvej 19 ......................700,00""
",184
222,"Fredericiagade 22 5916,74",184
223,"Ringkøbingvej 22 1500,00 ""
",184
224,Andelsboligforeningen,191
225,Ringgaardens,191
226,Vestre Ringgade 108,193
227,Aarhus,194
228,Danmarks,196
229,Aarhus Købstads,197
230,Aarhus Kommune,200
231,Bredal,200
232,Aarhus,202
233,Ingerslev Boulevard,202
234,Harald Jensens,202
235,Stadion Allé,202
236,Ingerslev Boulevard,202
237,Harald Jensens Plads,202
238,de Mezavej,202
239,Statslaan,204
240,Matr. Nr. 69 co af Markj,204
241,Statslaan,205
242,Matr. Nr. 69 co af Markj,205
243,Flyvepladsen,207
244,Skejby,207
245,Aarhus Kommunehospital,208
246,Havnens,209
247,Havnens Penge,209
248,Havnen,210
249,Tinning,213
250,Aarhus,213
251,Aarhus,214
252,Horsens,214
253,Aarhus Teater,216
254,Aarhus Købstad,217
255,Aarhus Havn,218
256,Nordre Kirkegaard,219
257,Aarhus,219
258,Nordre Kirkegaard,220
259,Hørhaven,221
260,Hørhaven,221
